058_thankyou_3_ROSA_EXP.wav,058 サンキュー,サンキュー,サンキュー,拡張ボイス
059_thankyou_4_ROSA_EXP.wav,059 サンキュー,サンキュー,サンキュー,拡張ボイス
060_thankyou_5_ROSA_EXP.wav,060 サンキュー,サンキュー,サンキュー,拡張ボイス
061_vo_1_ROSA_EXP.wav,061 ヴォ,ヴォ,ヴォ,拡張ボイス
062_vo_2_ROSA_EXP.wav,062 ヴォ,ヴォ,ヴォ,拡張ボイス
063_vo_3_ROSA_EXP.wav,063 ヴォ,ヴォ,ヴォ,拡張ボイス
064_vo_4_ROSA_EXP.wav,064 ヴォ,ヴォ,ヴォ,拡張ボイス
065_vo_5_ROSA_EXP.wav,065 ヴォ,ヴォ,ヴォ,拡張ボイス
066_warawara_1_ROSA_EXP.wav,066 わらわら,わらわら,ワラワラ,拡張ボイス
067_warawara_2_ROSA_EXP.wav,067 わらわら,わらわら,ワラワラ,拡張ボイス
068_warawara_3_ROSA_EXP.wav,068 わらわら,わらわら,ワラワラ,拡張ボイス
069_warawara_4_ROSA_EXP.wav,069 わらわら,わらわら,ワラワラ,拡張ボイス
070_warawara_5_ROSA_EXP.wav,070 わらわら,わらわら,ワラワラ,拡張ボイス
071_kyuun_1_ROSA_EXP.wav,071 キューン,キューン,キューン,拡張ボイス
072_kyuun_2_ROSA_EXP.wav,072 キューン,キューン,キューン,拡張ボイス
073_kyuun_3_ROSA_EXP.wav,073 キューン,キューン,キューン,拡張ボイス
074_kyuun_4_ROSA_EXP.wav,074 キューン,キューン,キューン,拡張ボイス
075_kyuun_5_ROSA_EXP.wav,075 キューン,キューン,キューン,拡張ボイス
076_dokidoki_1_ROSA_EXP.wav,076 ドキドキ,ドキドキ,ドキドキ,拡張ボイス
077_dokidoki_2_ROSA_EXP.wav,077 ドキドキ,ドキドキ,ドキドキ,拡張ボイス
078_dokidoki_3_ROSA_EXP.wav,078 ドキドキ,ドキドキ,ドキドキ,拡張ボイス
079_dokidoki_4_ROSA_EXP.wav,079 ドキドキ,ドキドキ,ドキドキ,拡張ボイス
080_dokidoki_5_ROSA_EXP.wav,080 ドキドキ,ドキドキ,ドキドキ,拡張ボイス
081_rosarosa_1_ROSA_EXP.wav,081 ロサロサ,ロサロサ,ロサロサ,拡張ボイス
082_rosarosa_2_ROSA_EXP.wav,082 ロサロサ,ロサロサ,ロサロサ,拡張ボイス
083_rosarosa_3_ROSA_EXP.wav,083 ロサロサ,ロサロサ,ロサロサ,拡張ボイス
084_rosarosa_4_ROSA_EXP.wav,084 ロサロサ,ロサロサ,ロサロサ,拡張ボイス
085_rosarosa_5_ROSA_EXP.wav,085 ロサロサ,ロサロサ,ロサロサ,拡張ボイス
086_oharosa_1_ROSA_EXP.wav,086 おはロサ,おはロサ,オハロサ,拡張ボイス
087_oharosa_2_ROSA_EXP.wav,087 おはロサ,おはロサ,オハロサ,拡張ボイス
088_oharosa_3_ROSA_EXP.wav,088 おはロサ,おはロサ,オハロサ,拡張ボイス
089_oharosa_4_ROSA_EXP.wav,089 おはロサ,おはロサ,オハロサ,拡張ボイス
090_oharosa_5_ROSA_EXP.wav,090 おはロサ,おはロサ,オハロサ,拡張ボイス
091_dokkidoki_1_ROSA_EXP.wav,091 ドッキドキ,ドッキドキ,ドッキドキ,拡張ボイス
092_dokkidoki_2_ROSA_EXP.wav,092 ドッキドキ,ドッキドキ,ドッキドキ,拡張ボイス
093_dokkidoki_3_ROSA_EXP.wav,093 ドッキドキ,ドッキドキ,ドッキドキ,拡張ボイス
